Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,table_name,hash,index_hash
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 1)","(_id, 1)","(table_name, properties)","(hash, 9ff464f5f34d69692fd58bfc5ce406c0f46a6d74)","(index_hash, 7c030d06bb4a41bb517bae9295fa5a1dd57fa756)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 2)","(_id, 2)","(table_name, folder_counts)","(hash, 93ce81ce28eee8c1093d8c7c354d289e961e0a3d)","(index_hash, f3d5b0bb6a1d51d8a7708809700c666f69f183b2)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 3)","(_id, 3)","(table_name, folders)","(hash, 1bcd6e9eb62fa38b51ac5dcdbe02508f74a80905)","(index_hash, 88e57dcb0812588c094013ab1caa870be9514c1f)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 4)","(_id, 5)","(table_name, threads_metadata)","(hash, 74258ec0806a0f06ce08da84db4bea147aef32c6)","(index_hash, 440ae4be74dafb6d828e72b9074c15d420d5609b)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 5)","(_id, 8)","(table_name, group_conversations)","(hash, efc9b2c77e1a69ac9c25cdf0366374674c09e316)","(index_hash, 440ae4be74dafb6d828e72b9074c15d420d5609b)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 6)","(_id, 9)","(table_name, ranked_threads)","(hash, 4549b13a33bacd9d5b68d6524b322bef39abf61e)","(index_hash, 440ae4be74dafb6d828e72b9074c15d420d5609b)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 7)","(_id, 10)","(table_name, thread_participants)","(hash, c4d02f69b97ca8ea723f5e11bded58bbfa425d08)","(index_hash, 4f0fe1a85c734778e2a6070e1fb17fb89034cccd)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 8)","(_id, 11)","(table_name, message_reactions)","(hash, c52281e658d994f64801557cf54b7ef88f10b5ad)","(index_hash, 61ede168a8a3be1258ecaaa150cf1b6325ae02e2)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 9)","(_id, 12)","(table_name, montage_message_reactions)","(hash, c282eb5c1f138b982184c8490afae07908ee3120)","(index_hash, 1d06c0376644e63afc78d1d90cd596a98f1335b4)"
"(Package Name, com.facebook.orca)","(Original Database Name, threads_db2)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(Table Name, sqliteproc_metadata)","(Line ID, 10)","(_id, 13)","(table_name, fb_events)","(hash, 7fb935bec2f57c04195fcf07f13bc8c5a3bfc70e)","(index_hash, 76ced4e5877abf6cda68c259f1a0bd9721917639)"
