Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,id,state,worker_class_name,input_merger_class_name,input,output,initial_delay,interval_duration,flex_duration,run_attempt_count,backoff_policy,backoff_delay_duration,period_start_time,minimum_retention_duration,schedule_requested_at,run_in_foreground,required_network_type,requires_charging,requires_device_idle,requires_battery_not_low,requires_storage_not_low,trigger_content_update_delay,trigger_max_content_delay,content_uri_triggers
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 1)","(id, 8c72a1f5-e616-4db5-9141-43da243b6980)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x00\xf4w\x02w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x18BaseApplication.onCreate')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406917006)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406917023)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 2)","(id, 55c6eb84-39bf-4b0c-bdb2-0c7bc0d6dd52)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x04\xd4\xe7\xbfw\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1eMainApplication.BeforeInitTask')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406917079)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406917086)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 3)","(id, 850ace93-c07e-4a26-9b53-037ec5be0442)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x1daB\x19w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1cAppInitializer.initBeforeMMX')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406917551)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406917562)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 4)","(id, 51816772-a230-46f7-8315-7c83891f85de)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x002\xd6\xd4\xdfw\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1bAppInitializer.initAfterMMX')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406918403)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406918411)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 5)","(id, 064635ed-b3f4-40d7-8e0c-39a976106dac)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x08\xad\xeb=w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1dMainApplication.AfterInitTask')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406918549)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406918554)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 6)","(id, 92c07ad2-fc63-4654-8ac4-cb24b38ce87f)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00^\xaf`\xf6w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x05Total')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406918572)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406918578)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 7)","(id, 14dfc966-4a5a-4c6b-821d-5bb7c7adcd74)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x00H`\xa5w\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x18BaseApplication.onCreate')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498192342)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498192370)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 8)","(id, c60fa03e-d08c-4111-9034-4be6735a501c)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x03G\xf1\x06w\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1eMainApplication.BeforeInitTask')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498192444)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498192457)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 9)","(id, ec2924d8-68e8-47d6-a0c9-ce3076739089)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x12P\xaeTw\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1cAppInitializer.initBeforeMMX')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498192674)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498192684)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkSpec)","(Line ID, 10)","(id, b77cd439-38df-42cc-8b0a-9bd7a8dab3ac)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00!D0\xa7w\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1bAppInitializer.initAfterMMX')","(output, b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00')","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498193233)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498193296)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)",
