Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,rule_id,config_id,priority,config_result,namespace
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 1)","(_id, 1)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ADS_SYNCER_POLICY)","(priority, -1)","(config_result, b'\n\x11ADS_SYNCER_POLICY\x12\x0c2\n\x12\x08\x08\x0c\x10\x01\x18\x0c \x0f\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018""`\xb9\xc1\n')","(namespace, 34)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 2)","(_id, 2)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, AD_LIFECYCLE_WATERMARK_SAMPLING_POLICY)","(priority, -1)","(config_result, b'\n&AD_LIFECYCLE_WATERMARK_SAMPLING_POLICY\x12\x162\x14\x12\x12\t\x9a\x99\x99\x99\x99\x99\xb9?\x11\x00\x00\x00\x00\x00\x00\xf0?\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018;`\x82\x9a\x03')","(namespace, 59)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 3)","(_id, 3)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ALL_UPDATES_SYNCER_POLICY)","(priority, -1)","(config_result, b'\n\x19ALL_UPDATES_SYNCER_POLICY\x12\x0c2\n\x12\x08\x08\x01\x10\x01\x18\x01 \x0f\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\t`\xba\xc1\n')","(namespace, 9)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 4)","(_id, 4)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_ATLAS_SCORE_MIGRATION)","(priority, -1)","(config_result, b'\n\x1dANDROID_ATLAS_SCORE_MIGRATION\x12\x02\x08\x00\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\r`\x9c\xe2\x04')","(namespace, 13)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 5)","(_id, 5)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_ATLAS_USER_MIGRATION)","(priority, -1)","(config_result, b'\n\x1cANDROID_ATLAS_USER_MIGRATION\x12\x02\x08\x00\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\r`\x9d\xe2\x04')","(namespace, 13)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 6)","(_id, 6)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_CRONET_CACHE_SIZE_LIMIT)","(priority, -1)","(config_result, b'\n\x1fANDROID_CRONET_CACHE_SIZE_LIMIT\x12\x04\x08\x80\x80@\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x01`\xbby')","(namespace, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 7)","(_id, 7)","(rule_id, b'\x01\x8a9\xa9\xcdkC-\xa0\x14\xa4\xe9\n\xd2n:')","(config_id, ANDROID_CRONET_CACHE_SIZE_LIMIT)","(priority, 2)","(config_result, b'\n\x1fANDROID_CRONET_CACHE_SIZE_LIMIT\x12\x05\x08\x80\x8e\xce\x1c\x1a\x18\x08\x01\x12\t\x18\x06 \x03*\x03\x08\x81\x08\x12\t\x18\x06 \x04*\x03\x08\x80\x10 \x90\x1c*\x10\x01\x8a9\xa9\xcdkC-\xa0\x14\xa4\xe9\n\xd2n:0\x02`\x9cn')","(namespace, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 8)","(_id, 8)","(rule_id, b'h>\xe2\xe2\xfcQJ\xb0\x90\x93j\xef\xc6\xd2\x90O')","(config_id, ANDROID_CRONET_CACHE_SIZE_LIMIT)","(priority, 2)","(config_result, b'\n\x1fANDROID_CRONET_CACHE_SIZE_LIMIT\x12\x05\x08\x80\xc2\xd7/\x1a\t\x18\x06 \x03*\x03\x08\x81\x10 \x90\x1c*\x10h>\xe2\xe2\xfcQJ\xb0\x90\x93j\xef\xc6\xd2\x90O0\x02`\xf2q')","(namespace, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 9)","(_id, 10)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_NO_CLIENT_SAFETY_NET_ON_LOGIN)","(priority, -1)","(config_result, b'\n%ANDROID_NO_CLIENT_SAFETY_NET_ON_LOGIN\x12\x02 \x01\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\r`\xbf\xc8\x0e')","(namespace, 13)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 10)","(_id, 11)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_NO_CLIENT_SAFETY_NET_ON_LOGIN_BYPASS_STRING)","(priority, -1)","(config_result, b'\n3ANDROID_NO_CLIENT_SAFETY_NET_ON_LOGIN_BYPASS_STRING\x12\r*\x0bmagicString\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\r`\xc0\xc8\x0e')","(namespace, 13)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 11)","(_id, 12)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_NO_CLIENT_SAFETY_NET_ON_REGISTRATION)","(priority, -1)","(config_result, b'\n,ANDROID_NO_CLIENT_SAFETY_NET_ON_REGISTRATION\x12\x02 \x01\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\r`\xc1\xc8\x0e')","(namespace, 13)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 12)","(_id, 13)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, ANDROID_NO_CLIENT_SAFETY_NET_ON_REGISTRATION_BYPASS_STRING)","(priority, -1)","(config_result, b'\n:ANDROID_NO_CLIENT_SAFETY_NET_ON_REGISTRATION_BYPASS_STRING\x12\r*\x0bmagicString\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018\r`\xc2\xc8\x0e')","(namespace, 13)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, ConfigRule)","(Line ID, 13)","(_id, 14)","(rule_id, b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')","(config_id, APPLICATION_CRASH_SAMPLING_POLICY)","(priority, -1)","(config_result, b'\n!APPLICATION_CRASH_SAMPLING_POLICY\x12\x162\x14\x12\x12\t\x00\x00\x00\x00\x00\x00\xf0?\x11\x00\x00\x00\x00\x00\x00\xf0?\x1a\x00 \x90\x1c*\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xff\xff\xff\xff\xff\xff\xff\xff\xff\x018;`\xfd\xa7\x03')","(namespace, 59)"
