PID,DN,DP,TN,RL,key,proto
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 1)","(key, hotels.tmobiletravel.com)","(proto, Chhob3RlbHMudG1vYmlsZXRyYXZlbC5jb20Q6YWSgsSnyBcaNAohaHR0cHM6Ly9ob3RlbHMudG1vYmlsZXRyYXZlbC5jb20vEAIgACkAAAAAAADwPzAAOAAaLgodaHR0cHM6Ly9jZG5qcy5jbG91ZGZsYXJlLmNvbS8QASkAAAAAAAAAQDAAOAAaNQokaHR0cHM6Ly9idWlsZGVyLWFzc2V0cy51bmJvdW5jZS5jb20vEAEpAAAAAAAACEAwADgAGiMKEmh0dHBzOi8vdW5wa2cuY29tLxABKQAAAAAAABBAMAA4ABoqChlodHRwczovL2Nkbi5qc2RlbGl2ci5uZXQvEAEpAAAAAAAAFEAwADgAGjgKJWh0dHBzOi8vZDQ0NjZyM3Zscjl5bS5jbG91ZGZyb250Lm5ldC8QAiAAKQAAAAAAABRAMAA4ABoyCiFodHRwczovL3d3dy5nb29nbGUtYW5hbHl0aWNzLmNvbS8QASkAAAAAAAAYQDAAOAAaOQomaHR0cHM6Ly9kM2U1NGR1bGNkaHI4OC5jbG91ZGZyb250Lm5ldC8QAiAAKQAAAAAAABpAMAA4ABo3CiZodHRwczovL2QxZmM4d3Y4emFnNWNhLmNsb3VkZnJvbnQubmV0LxABKQAAAAAAABxAMAA4ABoyCiFodHRwczovL3d3dy5nb29nbGV0YWdtYW5hZ2VyLmNvbS8QASkAAAAAAAAiQDAAOAAaKwoaaHR0cHM6Ly9zdGF0aWMuaG90amFyLmNvbS8QASkAAAAAAAAmQDAAOAAaKwoaaHR0cHM6Ly9zY3JpcHQuaG90amFyLmNvbS8QASkAAAAAAAAoQDAAOAAaLgodaHR0cHM6Ly9mb250cy5nb29nbGVhcGlzLmNvbS8QASkAAAAAAAAqQDAAOAAaKwoaaHR0cHM6Ly9mb250cy5nc3RhdGljLmNvbS8QASkAAAAAAAAsQDAAOAA=)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 2)","(key, simplecellshop.com)","(proto, ChJzaW1wbGVjZWxsc2hvcC5jb20Qq9jPoda1yBcaLAobaHR0cHM6Ly9zaW1wbGVjZWxsc2hvcC5jb20vEAEpAAAAAAAA8D8wATgBGikKGGh0dHBzOi8vY2RuLnNob3BpZnkuY29tLxABKQAAAAAAAABAMAA4ARouCh1odHRwczovL2ZvbnRzLmdvb2dsZWFwaXMuY29tLxABKQAAAAAAAAhAMAA4ARoxCiBodHRwczovL21heGNkbi5ib290c3RyYXBjZG4uY29tLxABKQAAAAAAABBAMAA4ARouCh1odHRwczovL2ZvbnRzLnNob3BpZnljZG4uY29tLxABKQAAAAAAABRAMAA4ARoqChlodHRwczovL21lZGlhLnNlenpsZS5jb20vEAEpAAAAAAAAGEAwADgB)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 3)","(key, www.orderitalianospizzamenu.com)","(proto, Ch93d3cub3JkZXJpdGFsaWFub3NwaXp6YW1lbnUuY29tEI/BwZ3W48gXGjkKKGh0dHBzOi8vd3d3Lm9yZGVyaXRhbGlhbm9zcGl6emFtZW51LmNvbS8QASkAAAAAAADwPzAAOAEaNwomaHR0cHM6Ly9kaXJlY3Qtd2ViLnByb2Quc2xpY2VsaWZlLmNvbS8QASkAAAAAAAAAQDAAOAE=)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 4)","(key, www.digital4n6india.com)","(proto, Chd3d3cuZGlnaXRhbDRuNmluZGlhLmNvbRCEot+ZserIFxoxCiBodHRwczovL3d3dy5kaWdpdGFsNG42aW5kaWEuY29tLxABKQAAAAAAAPA/MAA4ARouCh1odHRwczovL2Fkc2VydmljZS5nb29nbGUuY29tLxABKQAAAAAAABBAMAE4ARouCh1odHRwczovL2ZvbnRzLmdvb2dsZWFwaXMuY29tLxABKQAAAAAAAABAMAA4ARorChpodHRwczovL2ZvbnRzLmdzdGF0aWMuY29tLxABKQAAAAAAAAhAMAA4AQ==)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 5)","(key, survey.sans.org)","(proto, Cg9zdXJ2ZXkuc2Fucy5vcmcQ06+B/sDwyBcaKQoYaHR0cHM6Ly9zdXJ2ZXkuc2Fucy5vcmcvEAEpAAAAAAAA8D8wATgB)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 6)","(key, www.sans.org)","(proto, Cgx3d3cuc2Fucy5vcmcQzu+Ak8HwyBcaJgoVaHR0cHM6Ly93d3cuc2Fucy5vcmcvEAEpAAAAAAAA8D8wADgBGisKGmh0dHBzOi8vZm9udHMuZ3N0YXRpYy5jb20vEAEpAAAAAAAAAEAwADgA)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 7)","(key, www.carfax.com)","(proto, Cg53d3cuY2FyZmF4LmNvbRD3heL3qp/JFxooChdodHRwczovL3d3dy5jYXJmYXguY29tLxABKQAAAAAAAPA/MAA4ARouCh1odHRwczovL2ZvbnRzLmdvb2dsZWFwaXMuY29tLxABKQAAAAAAAABAMAA4AQ==)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 8)","(key, www.southernchryslerjeepdodge.com)","(proto, CiF3d3cuc291dGhlcm5jaHJ5c2xlcmplZXBkb2RnZS5jb20Qwvni9aqfyRcaOgopaHR0cDovL3d3dy5zb3V0aGVybmNocnlzbGVyamVlcGRvZGdlLmNvbS8QASkAAAAAAADwPzAAOAEaLgodaHR0cHM6Ly9zbWV0cmljcy5mY2FjZXJ0LmNvbS8QASkAAAAAAAAUQDABOAEaLgodaHR0cHM6Ly9zYXRyYWNrLnB1cmVjYXJzLmNvbS8QASkAAAAAAAAcQDABOAEaKAoXaHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8QASkAAAAAAAAAQDAAOAEaKQoYaHR0cHM6Ly93cy5hdWRpb2V5ZS5jb20vEAEpAAAAAAAACEAwADgBGi4KHWh0dHBzOi8vZm9udHMuZ29vZ2xlYXBpcy5jb20vEAEpAAAAAAAAEEAwADgBGisKGmh0dHBzOi8vZm9udHMuZ3N0YXRpYy5jb20vEAEpAAAAAAAAGEAwADgBGigKF2h0dHBzOi8vY2RuLmd1YmFnb28uaW8vEAEpAAAAAAAAIEAwADgBGioKGWh0dHBzOi8vczMuYW1hem9uYXdzLmNvbS8QASkAAAAAAAAiQDAAOAEaLwoeaHR0cHM6Ly9jYm8tbG9hZGVyLmd1YmFnb28uaW8vEAEpAAAAAAAAJEAwADgBGjEKIGh0dHBzOi8vbWF4Y2RuLmJvb3RzdHJhcGNkbi5jb20vEAEpAAAAAAAAJkAwADgBGi4KHWh0dHBzOi8vd3N2M2Nkbi5hdWRpb2V5ZS5jb20vEAEpAAAAAAAAKEAwADgB)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 9)","(key, m.facebook.com)","(proto, Cg5tLmZhY2Vib29rLmNvbRCyq7S+rp/JFxooChdodHRwczovL20uZmFjZWJvb2suY29tLxABKQAAAAAAAABAMAE4ARoqChlodHRwczovL3d3dy5mYWNlYm9vay5jb20vEAEpAAAAAAAA8D8wATgBGi0KHGh0dHBzOi8vc3RhdGljLnh4LmZiY2RuLm5ldC8QASkAAAAAAAAIQDAAOAE=)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_origin)","(RL, 10)","(key, accounts.google.com)","(proto, ChNhY2NvdW50cy5nb29nbGUuY29tEJKm996un8kXGi8KHGh0dHBzOi8vYWNjb3VudHMuZ29vZ2xlLmNvbS8QAiAAKQAAAAAAAPA/MAE4AQ==)"
