PID,DN,DP,TN,RL,multifile_download_id,key,value
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 1)","(multifile_download_id, 365)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 2)","(multifile_download_id, 365)","(key, file_download_372)","(value, 372)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 3)","(multifile_download_id, 365)","(key, file_download_373)","(value, 373)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 4)","(multifile_download_id, 365)","(key, file_download_370)","(value, 370)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 5)","(multifile_download_id, 365)","(key, file_download_371)","(value, 371)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 6)","(multifile_download_id, 365)","(key, file_download_365)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 7)","(multifile_download_id, 365)","(key, file_download_376)","(value, 376)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 8)","(multifile_download_id, 365)","(key, file_download_366)","(value, 366)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 9)","(multifile_download_id, 365)","(key, file_download_377)","(value, 377)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 10)","(multifile_download_id, 365)","(key, file_download_374)","(value, 374)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 11)","(multifile_download_id, 365)","(key, file_download_375)","(value, 375)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 12)","(multifile_download_id, 365)","(key, file_download_369)","(value, 369)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 13)","(multifile_download_id, 365)","(key, file_download_367)","(value, 367)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 14)","(multifile_download_id, 365)","(key, file_download_368)","(value, 368)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 15)","(multifile_download_id, 389)","(key, update_id)","(value, 67)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 16)","(multifile_download_id, 389)","(key, file_download_389)","(value, 389)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 17)","(multifile_download_id, 389)","(key, file_download_390)","(value, 390)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, multifile_download_extras)","(RL, 18)","(multifile_download_id, 389)","(key, file_download_391)","(value, 391)"
