PID,DN,DP,TN,RL,partition_name,version
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 1)","(partition_name, __master_partition__)","(version, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 2)","(partition_name, photos_action_queue)","(version, 3)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 3)","(partition_name, album_state_data)","(version, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 4)","(partition_name, device_mgmt)","(version, 13)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 5)","(partition_name, PhotoEditorPartition)","(version, 11)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 6)","(partition_name, com.google.android.apps.photos.mediasync.MediaSyncPartition)","(version, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 7)","(partition_name, JobQueuePartition)","(version, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 8)","(partition_name, OnDeviceMIDatabasePartition)","(version, 4)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 9)","(partition_name, PrintingDatabasePartition)","(version, 27)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 10)","(partition_name, settings_storage)","(version, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 11)","(partition_name, SuggestedActionsDatabasePartition)","(version, 6)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 12)","(partition_name, SuggestedSharingDatabasePartition)","(version, 44)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 13)","(partition_name, album_upload)","(version, 5)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 14)","(partition_name, OnDeviceSearchDatabasePartition)","(version, 67)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 15)","(partition_name, BackupPartition)","(version, 33)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, partition_versions)","(RL, 16)","(partition_name, Photos2DatabasePartition)","(version, 401)"
