PID,DN,DP,TN,RL,tbl,idx,stat
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 1)","(tbl, people)","(idx, sqlite_autoindex_people_1)","(stat, 500 250 1)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 2)","(tbl, owners)","(idx, None)","(stat, 3)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 3)","(tbl, owner_sync_requests)","(idx, sqlite_autoindex_owner_sync_requests_1)","(stat, 3 1 1)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 4)","(tbl, sync_tokens)","(idx, sqlite_autoindex_sync_tokens_1)","(stat, 15)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 5)","(tbl, circle_members)","(idx, sqlite_autoindex_circle_members_1)","(stat, 1000 300 2 1)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 6)","(tbl, circles)","(idx, sqlite_autoindex_circles_1)","(stat, 20 10 1)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 7)","(tbl, search_index)","(idx, search_value)","(stat, 1500 3)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 8)","(tbl, search_index)","(idx, search_person_id_index)","(stat, 1500 3)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 9)","(tbl, emails)","(idx, email_person)","(stat, 500 150 1)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 10)","(tbl, phones)","(idx, phone_person)","(stat, 500 150 1)"
"(PID, com.google.android.gms)","(DN, pluscontacts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/pluscontacts.db)","(TN, sqlite_stat1)","(RL, 11)","(tbl, postal_address)","(idx, postal_address_person)","(stat, 500 150 1)"
