PID,DN,DP,TN,RL,app_id,parameters
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 1)","(app_id, com.google.android.music)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 2)","(app_id, com.instantcheckmate.app)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 3)","(app_id, com.ea.game.nfs14_row)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 4)","(app_id, com.autotrader.android)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 5)","(app_id, com.lemurmonitors.bluedriver)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 6)","(app_id, com.androidrocker.voicechanger)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 7)","(app_id, com.flatfish.cal.privacy)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 8)","(app_id, com.microsoft.office.outlook)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 9)","(app_id, com.carfax.consumer)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 10)","(app_id, app.cartomizer)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 11)","(app_id, com.google.android.googlequicksearchbox)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 12)","(app_id, com.twitter.android)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 13)","(app_id, com.venmo)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 14)","(app_id, com.cargurus.mobileApp)","(parameters, IAA=)"
"(PID, com.google.android.gms)","(DN, google_app_measurement.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/google_app_measurement.db)","(TN, default_event_params)","(RL, 15)","(app_id, com.napko.RealDash)","(parameters, IAA=)"
