PID,DN,DP,TN,RL,seq_num,start_walltime,start_uptime,start_event,end_walltime,end_uptime,end_event
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 1)","(seq_num, 266)","(start_walltime, 1626385856)","(start_uptime, 52302)","(start_event, 1)","(end_walltime, 1626385908)","(end_uptime, 52354)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 2)","(seq_num, 267)","(start_walltime, 1626731673)","(start_uptime, 64883)","(start_event, 1)","(end_walltime, 1626731711)","(end_uptime, 64921)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 3)","(seq_num, 268)","(start_walltime, 1626812946)","(start_uptime, 75621)","(start_event, 1)","(end_walltime, 1626812957)","(end_uptime, 75631)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 4)","(seq_num, 269)","(start_walltime, 1626812957)","(start_uptime, 75631)","(start_event, 1)","(end_walltime, 1626813033)","(end_uptime, 75708)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 5)","(seq_num, 270)","(start_walltime, 1626813053)","(start_uptime, 75721)","(start_event, 1)","(end_walltime, 1626813108)","(end_uptime, 75776)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 6)","(seq_num, 271)","(start_walltime, 1626813108)","(start_uptime, 75776)","(start_event, 1)","(end_walltime, 1626813113)","(end_uptime, 75780)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 7)","(seq_num, 272)","(start_walltime, 1626833667)","(start_uptime, 76978)","(start_event, 1)","(end_walltime, 1626833668)","(end_uptime, 76978)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 8)","(seq_num, 273)","(start_walltime, 1626833668)","(start_uptime, 76978)","(start_event, 1)","(end_walltime, 1626833682)","(end_uptime, 76992)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 9)","(seq_num, 274)","(start_walltime, 1626833682)","(start_uptime, 76992)","(start_event, 1)","(end_walltime, 1626833688)","(end_uptime, 76999)","(end_event, 2)"
"(PID, com.instagram.android)","(DN, time_in_app_46770300793.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.instagram.android/databases/time_in_app_46770300793.db)","(TN, intervals)","(RL, 10)","(seq_num, 275)","(start_walltime, 1626878403)","(start_uptime, 79275)","(start_event, 1)","(end_walltime, 1626878403)","(end_uptime, 79275)","(end_event, 2)"
