PID,DN,DP,TN,RL,facet,version
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 1)","(facet, cql_schema_v0)","(version, -5532604887253201111)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 2)","(facet, cql_schema_v1)","(version, -1208996294041054184)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 3)","(facet, cql_schema_v2)","(version, 5137883949636525785)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 4)","(facet, cql_schema_v3)","(version, 2550553958006999245)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 5)","(facet, cql_schema_v4)","(version, 8842149100901181833)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 6)","(facet, cql_schema_v5)","(version, -1804335276624255121)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 7)","(facet, upgrade_message_sort_keys)","(version, 6)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 8)","(facet, cql_schema_v6)","(version, 8219660923314868796)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 9)","(facet, cql_schema_v7)","(version, -5121171203792844321)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 10)","(facet, cql_schema_v8)","(version, 2951406594418307869)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 11)","(facet, cql_schema_v9)","(version, -7874616499585161850)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 12)","(facet, cql_schema_v10)","(version, -4085072330146465473)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 13)","(facet, cql_schema_v11)","(version, 4417390297439052697)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 14)","(facet, cql_schema_v12)","(version, 9058130754586667088)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 15)","(facet, upgrade_pending_task_plugin_type)","(version, 13)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 16)","(facet, cql_schema_v13)","(version, 4328902520591591075)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 17)","(facet, cql_schema_v14)","(version, -3938260131288466175)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 18)","(facet, cql_schema_v15)","(version, -1020751429018872469)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 19)","(facet, cql_schema_v16)","(version, 2433422823460176577)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 20)","(facet, cql_schema_v17)","(version, -6853339801943368747)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 21)","(facet, cql_schema_v18)","(version, 3527976022154772205)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 22)","(facet, cql_schema_v19)","(version, -5469199705470066874)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 23)","(facet, cql_schema_v21)","(version, 2595048770794450075)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, instagram_upgrade_cql_schema_facets)","(RL, 24)","(facet, cql_schema_v22)","(version, -3008814657889235255)"
