PID,DN,DP,TN,RL,_id,key,value
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 1)","(_id, 1)","(key, fts_ready)","(value, 5)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 2)","(_id, 3)","(key, chat_ready)","(value, 2)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 3)","(_id, 4)","(key, blank_me_jid_ready)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 4)","(_id, 5)","(key, participant_user_ready)","(value, 2)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 5)","(_id, 6)","(key, broadcast_me_jid_ready)","(value, 2)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 6)","(_id, 7)","(key, receipt_user_ready)","(value, 2)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 7)","(_id, 8)","(key, receipt_device_migration_complete)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 8)","(_id, 9)","(key, status_list_ready)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 9)","(_id, 10)","(key, media_message_ready)","(value, 2)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 10)","(_id, 11)","(key, media_message_fixer_ready)","(value, 3)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 11)","(_id, 12)","(key, fts_index_start)","(value, 0)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 12)","(_id, 13)","(key, call_log_ready)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 13)","(_id, 15)","(key, links_ready)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 14)","(_id, 139)","(key, jid_ready)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 15)","(_id, 140)","(key, msgtore_db_schema_version)","(value, efb81d53398881eaa3d485d7c37fe95b)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 16)","(_id, 152)","(key, migration_stats_quoted_order_message_v2)","(value, {""row_processed"":0,""row_skipped"":0,""db_size_change"":0,""migration_time_spent"":0,""retry_count"":0})"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 17)","(_id, 153)","(key, quoted_order_message_v2_migration_ready)","(value, 1)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 18)","(_id, 196)","(key, frequents)","(value, 1626981936242)"
"(PID, com.whatsapp)","(DN, msgstore.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.whatsapp/databases/msgstore.db)","(TN, props)","(RL, 19)","(_id, 197)","(key, earliest_status_time)","(value, 0)"
