PID,DN,DP,TN,RL,_id,capture_time,capture_file_name,capture_server_ip,capture_server_port,capture_app_name_main,capture_app_name_all,capture_proxy_type,capture_protocol_no,capture_pkg_name_all,capture_set_id
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 1)","(_id, 1)","(capture_time, 1618077687245)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture5924736418987782039.dat)","(capture_server_ip, 69.171.250.34)","(capture_server_port, 443)","(capture_app_name_main, Facebook Services)","(capture_app_name_all, Facebook Services)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, com.facebook.services)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 2)","(_id, 2)","(capture_time, 1618077687260)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture2338597808508618173.dat)","(capture_server_ip, 199.103.24.2)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 3)","(_id, 3)","(capture_time, 1618077687279)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture8190198680235017688.dat)","(capture_server_ip, 199.103.24.2)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 4)","(_id, 4)","(capture_time, 1618077687280)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture1640923295324676976.dat)","(capture_server_ip, 130.44.212.185)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 5)","(_id, 5)","(capture_time, 1618077687291)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture5764658072200985247.dat)","(capture_server_ip, 34.98.93.234)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 6)","(_id, 6)","(capture_time, 1618077687318)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture2005047872003242175.dat)","(capture_server_ip, 199.103.24.2)","(capture_server_port, 443)","(capture_app_name_main, TikTok)","(capture_app_name_all, TikTok)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, com.zhiliaoapp.musically)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 7)","(_id, 7)","(capture_time, 1618077687331)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture1721173936137164446.dat)","(capture_server_ip, 199.103.24.2)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 8)","(_id, 8)","(capture_time, 1618077687339)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture3662640660726997945.dat)","(capture_server_ip, 130.44.212.185)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 9)","(_id, 9)","(capture_time, 1618077687354)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture4840272074005392326.dat)","(capture_server_ip, 34.98.93.234)","(capture_server_port, 443)","(capture_app_name_main, System)","(capture_app_name_all, System)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, root.uid=0)","(capture_set_id, 1618077687062)"
"(PID, app.greyshirts.sslcapture)","(DN, schedule.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/app.greyshirts.sslcapture/databases/schedule.db)","(TN, capture)","(RL, 10)","(_id, 10)","(capture_time, 1618077687365)","(capture_file_name, /data/user/0/app.greyshirts.sslcapture/files/capture5704364857949499618.dat)","(capture_server_ip, 130.44.212.180)","(capture_server_port, 443)","(capture_app_name_main, TikTok)","(capture_app_name_all, TikTok)","(capture_proxy_type, 1)","(capture_protocol_no, 6)","(capture_pkg_name_all, com.zhiliaoapp.musically)","(capture_set_id, 1618077687062)"
