PID,DN,DP,TN,RL,key,proto
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 1)","(key, hotels.tmobiletravel.com)","(proto, Chhob3RlbHMudG1vYmlsZXRyYXZlbC5jb20Q1oWSgsSnyBcaKAoYaG90ZWxzLnRtb2JpbGV0cmF2ZWwuY29tEAIgACoFaHR0cHMwuwM=)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 2)","(key, www.orderitalianospizzamenu.com)","(proto, Ch93d3cub3JkZXJpdGFsaWFub3NwaXp6YW1lbnUuY29tEILBwZ3W48gXGi0KH3d3dy5vcmRlcml0YWxpYW5vc3BpenphbWVudS5jb20QASoFaHR0cHMwuwM=)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 3)","(key, www.digital4n6india.com)","(proto, Chd3d3cuZGlnaXRhbDRuNmluZGlhLmNvbRDzod+ZserIFxolChd3d3cuZGlnaXRhbDRuNmluZGlhLmNvbRABKgVodHRwczC7Aw==)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 4)","(key, survey.sans.org)","(proto, Cg9zdXJ2ZXkuc2Fucy5vcmcQw6+B/sDwyBcaHQoPc3VydmV5LnNhbnMub3JnEAEqBWh0dHBzMLsD)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 5)","(key, www.sans.org)","(proto, Cgx3d3cuc2Fucy5vcmcQw++Ak8HwyBcaGgoMd3d3LnNhbnMub3JnEAEqBWh0dHBzMLsD)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 6)","(key, www.carfax.com)","(proto, Cg53d3cuY2FyZmF4LmNvbRDqheL3qp/JFxocCg53d3cuY2FyZmF4LmNvbRABKgVodHRwczC7Aw==)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 7)","(key, www.cargurus.com)","(proto, ChB3d3cuY2FyZ3VydXMuY29tELb54vWqn8kXGi0KIXd3dy5zb3V0aGVybmNocnlzbGVyamVlcGRvZGdlLmNvbRABKgRodHRwMFA=)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 8)","(key, auth.carfax.com)","(proto, Cg9hdXRoLmNhcmZheC5jb20QgKb33q6fyRcaJQoTYWNjb3VudHMuZ29vZ2xlLmNvbRACGAEgACoFaHR0cHMwuwMaIAoObS5mYWNlYm9vay5jb20QARgBIAEqBWh0dHBzMLsD)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 9)","(key, www.totalcardiagnostics.com)","(proto, Cht3d3cudG90YWxjYXJkaWFnbm9zdGljcy5jb20Qj8aTqbGfyRcaKQobd3d3LnRvdGFsY2FyZGlhZ25vc3RpY3MuY29tEAEqBWh0dHBzMLsD)"
"(PID, com.android.chrome)","(DN, Network Action Predictor)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Network Action Predictor)","(TN, resource_prefetch_predictor_host_redirect)","(RL, 10)","(key, www.edmunds.com)","(proto, Cg93d3cuZWRtdW5kcy5jb20Q1eTtibWfyRcaHQoPd3d3LmVkbXVuZHMuY29tEAEqBWh0dHBzMLsD)"
