PID,DN,DP,TN,RL,pk,data,sha256
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 1)","(pk, f0dbee281bfe67a2681d45fb7c8ed4bb5f6e6bd3ac7ad6314588d20840b3ca3e, 1622859995245)","(data, CiDw2+4oG/5nomgdRft8jtS7X25r06x61jFFiNIIQLPKPhDtsPnPnS8YACD///////////8BOAA=)","(sha256, f0dbee281bfe67a2681d45fb7c8ed4bb5f6e6bd3ac7ad6314588d20840b3ca3e)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 2)","(pk, 2a584d7531869dd35c87582083c08e0b94a7b5e6cee02b83b5c2984310f1a1c1, 1624937374183)","(data, CiAqWE11MYad01yHWCCDwI4LlKe15s7gK4O1wphDEPGhwRDnw8KupS8YACD///////////8BOAA=)","(sha256, 2a584d7531869dd35c87582083c08e0b94a7b5e6cee02b83b5c2984310f1a1c1)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 3)","(pk, e6a53bd9e6e972543d968ddf9919403b9b201496510e9186b493d179cff02081, 1624984807526)","(data, CiDmpTvZ5ulyVD2Wjd+ZGUA7myAUllEOkYa0k9F5z/AggRDm0JHFpS8YACD///////////8BOAA=)","(sha256, e6a53bd9e6e972543d968ddf9919403b9b201496510e9186b493d179cff02081)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 4)","(pk, 5d9f6288f757353cc5d686ef82b0c17a5d4b6bc0d6d53f2573427c886ac575bb, 1625006248354)","(data, CiBdn2KI91c1PMXWhu+CsMF6XUtrwNbVPyVzQnyIasV1uxCio67PpS8YACD///////////8BOAA=)","(sha256, 5d9f6288f757353cc5d686ef82b0c17a5d4b6bc0d6d53f2573427c886ac575bb)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 5)","(pk, 3576e6c3fb1194e972dbff463964a5b83c4fb7879df9abba3dfdac91bc9dafc9, 1625006301438)","(data, CiA1dubD+xGU6XLb/0Y5ZKW4PE+3h535q7o9/ayRvJ2vyRD+wbHPpS8YACD///////////8BOAA=)","(sha256, 3576e6c3fb1194e972dbff463964a5b83c4fb7879df9abba3dfdac91bc9dafc9)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 6)","(pk, 7ba06d407adc12bafa3a594c516d214f0624765ea6742523f7fedede255fe064, 1625202547407)","(data, CiB7oG1AetwSuvo6WUxRbSFPBiR2XqZ0JSP3/t7eJV/gZBDPtfuspi8YACD///////////8BOAA=)","(sha256, 7ba06d407adc12bafa3a594c516d214f0624765ea6742523f7fedede255fe064)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 7)","(pk, b141dfb9ca3aea145aa03e1b92d6498aec6c4aa1ea067c5a12533f8d059d8e8a, 1625202606313)","(data, CiCxQd+5yjrqFFqgPhuS1kmK7GxKoeoGfFoSUz+NBZ2OihDpgf+spi8YACD///////////8BOAA=)","(sha256, b141dfb9ca3aea145aa03e1b92d6498aec6c4aa1ea067c5a12533f8d059d8e8a)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 8)","(pk, 5f98f6e8af7592a3c029a8527b8da236b92840f9bd365c28d45873d54823c363, 1625213334334)","(data, CiBfmPbor3WSo8ApqFJ7jaI2uShA+b02XCjUWHPVSCPDYxC+5o2ypi8YACD///////////8BOAA=)","(sha256, 5f98f6e8af7592a3c029a8527b8da236b92840f9bd365c28d45873d54823c363)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 9)","(pk, 04f5ae764f5637271da7c12a39eca2a3021e35c75859c8eb756ca5c322695686, 1625384428824)","(data, CiAE9a52T1Y3Jx2nwSo57KKjAh41x1hZyOt1bKXDImlWhhCYytiDpy8YACD///////////8BOAA=)","(sha256, 04f5ae764f5637271da7c12a39eca2a3021e35c75859c8eb756ca5c322695686)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/verify_apps.db)","(TN, installation_attempts)","(RL, 10)","(pk, 7d081b16068c0a3a672ca271fe24f4e13888e15bd0b6cac988052c997c272925, 1625384428749)","(data, CiB9CBsWBowKOmcsonH+JPThOIjhW9C2ysmIBSyZfCcpJRDNydiDpy8YACD///////////8BOAA=)","(sha256, 7d081b16068c0a3a672ca271fe24f4e13888e15bd0b6cac988052c997c272925)"
