PID,DN,DP,TN,RL,data,pk
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 1)","(data, CiDvL7o/6VRsPv+kahUltBHnue/hfEWNuAj5otxLT/GQsBCz/6uupS8YAEACkAEAmgEA)","(pk, ef2fba3fe9546c3effa46a1525b411e7b9efe17c458db808f9a2dc4b4ff190b0)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 2)","(data, CiAKpVGmF2O/uCYMVDBvqCRnL5eFZJ/nUU5kK4gO/509yhC//6uupS8YAEACkAEAmgEA)","(pk, 0aa551a61763bfb8260c54306fa824672f9785649fe7514e642b880eff9d3dca)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 3)","(data, CiCydEU+BNWrsIDhiHrZnes1NgzkcWV8yX9zsFQfb+PjXBDD/6uupS8YAEACkAEAmgEA)","(pk, b274453e04d5abb080e1887ad99deb35360ce471657cc97f73b0541f6fe3e35c)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 4)","(data, CiCOcYRlMmpIP94CUVcOZptsdgSKeLajl1MtnnqK/dJN0BDY/6uupS8YAEACkAEAmgEA)","(pk, 8e718465326a483fde0251570e669b6c76048a78b6a397532d9e7a8afdd24dd0)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 5)","(data, CiC9gTGGR+tYwTkSbsfkemOieFkz7PVdutKwjGg+KEMKwBDo/6uupS8YAEACkAEAmgEA)","(pk, bd81318647eb58c139126ec7e47a63a2785933ecf55dbad2b08c683e28430ac0)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 6)","(data, CiD5zwgVpLdozxcAx70WTSPqRfIMeJhD6sGQXAqKKoSBqRD8/6uupS8YAEACkAEAmgEA)","(pk, f9cf0815a4b768cf1700c7bd164d23ea45f20c789843eac1905c0a8a2a8481a9)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 7)","(data, CiCzrlleLYPm2cK+CtTZ0dwCoSIkiRAu7/XfZUmOcTbSqRCAgKyupS8YAEACkAEAmgEA)","(pk, b3ae595e2d83e6d9c2be0ad4d9d1dc02a1222489102eeff5df65498e7136d2a9)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 8)","(data, CiDcslIQQvxuFERsHBPR7Qzx+YAJBDyaIZZ/EycaHQn7uxCLgKyupS8YAEACkAEAmgEA)","(pk, dcb2521042fc6e14446c1c13d1ed0cf1f98009043c9a21967f13271a1d09fbbb)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 9)","(data, CiBrAZ7beurz87/B9XZJL3c1ErwDzi3PmRglrjl+IAtWcBCZgKyupS8YAEACkAEAmgEA)","(pk, 6b019edb7aeaf3f3bfc1f576492f773512bc03ce2dcf991825ae397e200b5670)"
"(PID, com.android.vending)","(DN, verify_apps.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/verify_apps.db)","(TN, package_verdict_cache)","(RL, 10)","(data, CiBbVxnyawaXp8kHz3ULttC1DKWhgaO14SgkpXCS+AfFWBCfgKyupS8YAEACkAEAmgEA)","(pk, 5b5719f26b0697a7c907cf750bb6d0b50ca5a181a3b5e12824a57092f807c558)"
