PID,DN,DP,TN,RL,id,state,worker_class_name,input_merger_class_name,input,output,initial_delay,interval_duration,flex_duration,run_attempt_count,backoff_policy,backoff_delay_duration,period_start_time,minimum_retention_duration,schedule_requested_at,run_in_foreground,required_network_type,requires_charging,requires_device_idle,requires_battery_not_low,requires_storage_not_low,trigger_content_update_delay,trigger_max_content_delay,content_uri_triggers,out_of_quota_policy
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 1)","(id, e81695a9-e44a-422d-9b5b-939a40e17a6d)","(state, 0)","(worker_class_name, com.google.android.apps.photos.metasync.periodic.MetaSyncWorker)","(input_merger_class_name, None)","(input, rO0ABXcEAAAAAA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 21600000)","(flex_duration, 10800000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626977936933)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626977936947)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 2)","(id, cfc7bedf-7cb9-40ea-873f-4f78e4c66a3d)","(state, 0)","(worker_class_name, com.google.android.apps.photos.scheduler.IdleAndChargingLowPriorityBackgroundJobWorker)","(input_merger_class_name, None)","(input, rO0ABXcEAAAAAA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 43200000)","(flex_duration, 21600000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 0)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626485167147)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 1)","(requires_device_idle, 1)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 3)","(id, 4ab6960a-c528-4464-9ccf-89fc2d4c8e54)","(state, 0)","(worker_class_name, com.google.android.apps.photos.scheduler.ChargingOnlyLowPriorityBackgroundJobWorker)","(input_merger_class_name, None)","(input, rO0ABXcEAAAAAA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 172800000)","(flex_duration, 86400000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626981934211)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626981934295)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 1)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 4)","(id, ff07a3df-6beb-4f53-9254-6afbf58171ec)","(state, 0)","(worker_class_name, com.google.android.apps.photos.ondevicemi.mimodeldownloading.mdd.ModelDownloadWorker)","(input_merger_class_name, None)","(input, rO0ABXcWAAAAAQAQTUREX1RBU0tfVEFHX0tFWXQAGk1ERC5DSEFSR0lORy5QRVJJT0RJQy5UQVNL)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 21600000)","(flex_duration, 21600000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 0)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626807872907)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 1)","(requires_device_idle, 1)","(requires_battery_not_low, 1)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 5)","(id, c6d18ae3-07a6-44ee-aac9-33db8e29d418)","(state, 0)","(worker_class_name, com.google.android.apps.photos.ondevicemi.mimodeldownloading.mdd.ModelDownloadWorker)","(input_merger_class_name, None)","(input, rO0ABXcWAAAAAQAQTUREX1RBU0tfVEFHX0tFWXQAIU1ERC5NQUlOVEVOQU5DRS5QRVJJT0RJQy5HQ00uVEFTSw==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 21600000)","(flex_duration, 21600000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626977937095)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626977937102)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 6)","(id, 9d7e7fce-6096-467c-90f2-b7f5991defdc)","(state, 0)","(worker_class_name, com.google.android.apps.photos.ondevicemi.mimodeldownloading.mdd.ModelDownloadWorker)","(input_merger_class_name, None)","(input, rO0ABXcWAAAAAQAQTUREX1RBU0tfVEFHX0tFWXQAI01ERC5DRUxMVUxBUi5DSEFSR0lORy5QRVJJT0RJQy5UQVNL)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 21600000)","(flex_duration, 21600000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626909606197)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626909606226)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 1)","(requires_battery_not_low, 1)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 7)","(id, 407e709d-a360-435a-9302-73024b28c3ce)","(state, 0)","(worker_class_name, com.google.android.apps.photos.ondevicemi.mimodeldownloading.mdd.ModelDownloadWorker)","(input_merger_class_name, None)","(input, rO0ABXcWAAAAAQAQTUREX1RBU0tfVEFHX0tFWXQAH01ERC5XSUZJLkNIQVJHSU5HLlBFUklPRElDLlRBU0s=)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 21600000)","(flex_duration, 21600000)","(run_attempt_count, 0)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 0)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626807872992)","(run_in_foreground, 0)","(required_network_type, 2)","(requires_charging, 0)","(requires_device_idle, 1)","(requires_battery_not_low, 1)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 8)","(id, 04c8ef88-a742-4399-817c-4409f89cb257)","(state, 2)","(worker_class_name, com.google.android.apps.photos.promo.FeaturePromoEligibilityPrecomputingWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcQAAAAAQAKYWNjb3VudF9pZHNyABFqYXZhLmxhbmcuSW50ZWdlchLioKT3gYc4AgABSQAFdmFsdWV4cgAQamF2YS5sYW5nLk51bWJlcoaslR0LlOCLAgAAeHAAAAAA)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626807873837)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626807873846)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 9)","(id, d3b1ca88-b74c-4618-a247-2637933bc589)","(state, 2)","(worker_class_name, com.google.android.apps.photos.scheduler.DelayedLowPriorityBackgroundJobWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcEAAAAAA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 600000)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626807950519)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626807950529)","(run_in_foreground, 0)","(required_network_type, 0)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 1)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 10)","(id, f065bc3e-dae4-4a02-b5a9-4c1c239df65d)","(state, 2)","(worker_class_name, com.google.android.apps.photos.actionqueue.impl.OptimisticActionWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcEAAAAAA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626916364465)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626916364479)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)","(out_of_quota_policy, 0)"
