PID,DN,DP,TN,RL,_id,event_id,name,value
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 1)","(_id, 1)","(event_id, 1)","(name, product)","(value, d1que)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 2)","(_id, 2)","(event_id, 1)","(name, net-type)","(value, 0)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 3)","(_id, 3)","(event_id, 1)","(name, mobile-subtype)","(value, 13)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 4)","(_id, 4)","(event_id, 1)","(name, os-uild)","(value, RP1A.200720.012)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 5)","(_id, 5)","(event_id, 1)","(name, sdk-version)","(value, 30)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 6)","(_id, 6)","(event_id, 1)","(name, fingerprint)","(value, samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 7)","(_id, 7)","(event_id, 1)","(name, model)","(value, SM-N970U1)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 8)","(_id, 8)","(event_id, 1)","(name, tz-offset)","(value, -14400)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 9)","(_id, 9)","(event_id, 1)","(name, device)","(value, d1q)"
"(PID, com.zhiliaoapp.musically)","(DN, com.google.android.datatransport.events)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.zhiliaoapp.musically/databases/com.google.android.datatransport.events)","(TN, event_metadata)","(RL, 10)","(_id, 10)","(event_id, 1)","(name, hardware)","(value, qcom)"
