UID,AN,PID,DN,DP,TN,RL,_id,context_id,context_name,module_id,time_type,start_time,end_time,context_family,proto_blob,string_key1,string_key2,string_key3,version,sync_state,sync_state_mod_time_millis
"(UID, 0ec3d2ffbbee6df)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10247)","(_id, 16687)","(context_id, 4d263c04-8b20-4738-bcb9-8497da2e2c29)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926718761)","(end_time, 1626926718761)","(context_family, 1)","(proto_blob, 4xeEldLlfKueoGhVHKN38N+48Xa72fl9INZwtuJ678qDHQvA/iXnrKfTv7bp91r4K2ZWpH19Q5iFZy37g/4qWhGWogothtGoFSFBvWTNRV5V827GBWGa9hxm9IQJ5s6U4bhu403mPAuk4sIaSMs6ifn6TU5ilyIyVQLdTLAA2JMfYgWdaDX3wAydoDxUa0WvhVSJ4aU3yIKOOi6XbjQvy7S7ATtK/YcJCeHXSMCzBY53fs6dwHY+LmYXKm7TPOoeHV6V0XZS/7SwAvvkNBCsjx56IDjZPOTdqCOafOs7cKPebVP6w+sFt2d/7dMdvkb/mj1bqyY4PJpCQc3Wkck99N1WLuO/c24Qt9N1cnldVRuFAdFnbrlYwGLL/tFCnBY9N/pyqG+dxOy/U64m4hg95OnsTMw6GSePEvVZQN/EWZr9xd05iDXHRP1mSfOQDaM8)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728770)"
"(UID, f7c695d2547e2a9)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10248)","(_id, 16688)","(context_id, 5262ecf8-9705-4538-8d7b-bcfb5c80724e)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926719767)","(end_time, 1626926719767)","(context_family, 1)","(proto_blob, a1cYn1OQFQ/Xidvm37iraF9qLNwBHgdzfRoEhZCBD/LUhBdxNqIRXih5u4oG05I2VUcIP0o5/895DEJKq3B1QqCmGMXdDpodEWFWGBEj2C2PqLwutw5/1ZWcc5mxHzG096k/J+Htnlv0RweUso23swc+AVY2n0BcEkDVxNYzXbbkTFFFVbQs4j19cOM2ZIPdOzx4Un43Jau/k8GKoSMdrAaIUBeiowqmauktTmpfpORUi+m5BmktjZq2kkQdx6USaujvF/aVNu+q4BmlGiPMkA4Pl/VR3RY9K1XuJmyYh6qhsZ+Nn0r5TCnhPWoHVF69NVil3HmyMZsDXltg0VuOl4pNzlCyC5wcnjwO7O/9Sbt+1H2fZNKuooa20UqpxPQL2NdhudHTu+Ug2p6ocQHN3nHeoxgJAevBXpIsKWFIyA7w+WCJEjYxyeT725FsEC+P)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728771)"
"(UID, ee811f1258c2ff5)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10249)","(_id, 16689)","(context_id, 08b6886f-2606-4f99-a7f9-5f71468a1303)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926720760)","(end_time, 1626926720760)","(context_family, 1)","(proto_blob, hg/jt4LYcMPMZ9MSEsZgRsZBVkWthP6lT7MptqvV9X3ON8wF+5Infep0rN2ccqyobStS3ua4YuxKkJAgw3xIav0gt081JYogmtHZnDiY5XSQRt1tfpexatgyhw2Lx60Gh+1RmjWvadJNJtSLiX8DnAF6FzJq8sKYHHz4v4jUwzjgcVTWI+HY/+kt//gzcBQvNd9CIpZ25RPiCuO7UoKD8c2dOFG5TwntkYNYRqt2i8bT5srerjoMN+ABdqTikEdkpOOXDiHT+NCi62IXjw0K3dOrhCr7GSl6pi008iXIIV4uzJ4kSZ+ZUOv4ryuT9E1Ilr9OwS9MZ0+HkKMHOXlhyyoHULGOzPtx8/W6AI0PLrvtRfJ2uMQd1b5peLpSXMrHKtogZHFBY6iqsQD3zKUL/3ODcRfacYOO7Zys6rV6vjEs/LOFDDHLAjdPDFy4nkwj)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728772)"
"(UID, 1fa8dd3e00231e4)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10250)","(_id, 16690)","(context_id, d704f9bb-7ae1-4f17-b0f3-61cc1f52738f)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926721775)","(end_time, 1626926721775)","(context_family, 1)","(proto_blob, 7kbFlSxH8+BKrdVWVhKrsweIQHPSSS5iE6b5BiO7u6pUWOP3D1IVZMKeFSIsMcYPa6mawuYqCGmxk5ykz5ABfij3gXNpuDL2SRU+P47r88pF9D5NUcdZLuIQ+RcVFxweafR27CtYLPPk4qOoE37GDVD2D2KvXP5ICuRET2KZAX8s+fkFTujaOUT2MFPOSP3jP/0HxhyBPzWCgxfXP7ulyE4//o2r5kNPjYxa3wAzt+1J1jVAX5NXEvPW/hI86hdrvnJRjbWMq91UYk5vCa7f5PRmQ+qkQCHNyXsaChSgsS5ptY6EqJgVO1yv9VBgbyh5NcYO8qmye6Go+rXbv6ooo0TwMNHpJ3aP4mETIFcGr9fWhGpjvZ3QwPebSR5QQNRS1TdYyfryqx0MJbZm0edTAPohUZoqL+sxRGI17VrHr64p9rWvfwpLvl86L2ZoDKjM)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728777)"
"(UID, ce64a4ff1b0d449)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10251)","(_id, 16691)","(context_id, bd540e69-e836-4fff-95b5-7395230a9e75)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926722762)","(end_time, 1626926722762)","(context_family, 1)","(proto_blob, EjRea1i4ts4GFbp5oXccbLqq5na52XO2lMHumD52DTbi3FCCRz1slgvXymRVeRyx7I2zJMiwKPongTDCcLA4GHNxR0xLifvhuGfxfMR0RXoTWE2LlEzUsXmFuwi0458HufkkBM9jyriM0grKIWBHnwKCai6XjhAH3UgZJ4qL7eB/w308byF/U5W4V87kmIIBqBi2ddk1ZTh2JCjZNBe+PFAPnno2dfbQTcbY+3Cw1oJch/jkHysejXi9p4xAy427hBjX1UmC5b9zgkU/+VXonidZbOI8E1iUN1/9rQCzWDFKXHJ9W1/lGDogqnkbCOg6q7bV8nMJuKH1J2NaBm2uuhjuvdAIloDupzm0FFV/z9jTKE4O4VfqmUadgVuP+nlxTcGx+ftNQJtQ/4/1vqpcUAkvUmmiuYy66sgbUpuLj8D8Q2zpKOqdVep+bHyaDi4+)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728778)"
"(UID, 2fa64e035c2e58e)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10252)","(_id, 16692)","(context_id, 7b2f0ba5-1e6a-4ee6-922e-4360cb0d13d2)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926723752)","(end_time, 1626926723752)","(context_family, 1)","(proto_blob, X6dzHVkaskzulkTDSY7VHBpigSFuhSmrVs3ycaPdNQU0dM0SAWDABhXxt6oMvdMDlBgHmIC8ypSoXxdsAjXpYhlVS57FfVrKUPxgqZy55pvFaPCUd8VSmelw+7DENN+TWvD2f8jGrKbCdD4U5z4ZKaO0JrJ6lOj6gvyqxxNkVeNoFqIJyK85dFPhzowppzBs3LLVTC173oSjpFEKTccdFUeEX0ucTlkIR36KT4H2pTIT/zaHSwDPHsgdhnJFc+lf5NaTMWScnItKM5HySuVbq5yBohm2TK/AQD4zjsBlD4pa64KzzyqHz1l1scNegoWjOroxf9CRaQvKieyokVthUwrCnmWwOYltm90oGE+1MGMRTCvFv2GpmRfxxF4zoRMlS326QltUALqsd3OLAF0ekyR+Wk/sH6jWwKidWR5Py/12Tt5J+M0qA6AZOTi4zop1)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728778)"
"(UID, dde0fe59ad477fa)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10253)","(_id, 16693)","(context_id, 37d57c2a-6b5f-441b-83e6-ea1f3a7a54b6)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926724769)","(end_time, 1626926724769)","(context_family, 1)","(proto_blob, rs9grf8wBd15KypuxEJTBV3cbIUsBObfto4xqAkhYy87LcJSvEZ573psVZ9qFH9/v09M4YzL9b811/oAmjToIcp3+kGUCxTb8l6F/oab0/qi40THnPr2Fo/5kkJERdHEK2Qun+57Sao9BRE+FSxWYlGWWP4ZRJiqI8kZujFSjZK/q1zNkT4nJj8TdCI8o09JoNyN9z2C8MzBwlehoUStg2y3hQ/KhZENrEP1o7h7+/pWs3AJII0fz1bNJqJRg9H8c1UFSUVbkEVlXKg2J3KqbIKb9L8t/me+LEGmSIkQL7ZjMIXpasG+7SxVXBuzirA2vyutW+maaNvQM2BgUikaBlhRxZQr980g8mxDb0V41NjLOi/dZGs45MpthohTZNYq2nsTg0GEwx7erezdfo5u65IemieqbIeJA6DO+cdJo1EJm/tYehgKFDcynBHvTDUs)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728778)"
"(UID, 437f73260fb5b92)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10254)","(_id, 16694)","(context_id, 2eb96150-1480-467b-81a1-83883983d53f)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926725770)","(end_time, 1626926725770)","(context_family, 1)","(proto_blob, 3JqXCi5DjWYt4tOKVtAgyUJCA+9TUIXVDjM3L/52D28HrJCknXAa7yzAOKGAXlrVTbTwMVRqf8xINayM5ApxXulRc0mzwElhOk59Ci5pnzjiJy9LrP22iMzIN1GSUYLzO4/kQavW761vbITcPbdjKmNGmuLRgY3DQG03HdmuGWHX2yt9avgb7KNeGGG7MkeXjLUxRxF7kI4/AwXio5hHbvqKgvY4cSITxm8dm+ZTo95UM8UTSUGkd/jgitzik+xAhfWiNjD8FDYgyvHtv5YA/8/tM0+4yfEeqwgnUHTxaooOKkfOjCA/iBrWvHvXsADc1hP3W7s0dgPbe1nHXGwprYQmbjYtredO04AojgbolEz1QGSQ/leHlQQafHyyALiWoan8BkeKmNE7vmIqHOayXcv9mPWqN8X9LmOV/BcTPnfH/PeLgSeRwdncLnO8kiYS)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728778)"
"(UID, 86874fe1ae0c8cc)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10255)","(_id, 16695)","(context_id, 23ddeb34-c04b-4e10-880f-e8cf4ce25a19)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926726752)","(end_time, 1626926726752)","(context_family, 1)","(proto_blob, GzrNARsPaWVuobtWOkdX3NR9clkpfoLYGYHz3rRnYWNv33a3DEG2iDvTUcyMUeTwu2jO3lRHAL7u06P+B5XF0iBT26JAqYDwC6FndKMpdhAa0ZVb0d7gFn+2uSaFgCKOJ1K7BRG0hqwQ3yhzOglGL6J9gx3uXLAVfDz01oH5oZU0pUPFoLCj7SMQjPrf0oAmr6u/KfYKbXniIEoPOvtlvqfDCd4MBaUVhOTRDDNBfttl52JaL2pgfX5eOd9kaJSH1EeUSNOqEitGeUAGo9PHon2FmLAJwh5T1wXrA6gvNEEqDI6BSH8qCaQDpT0DcdXTZinw9GTgeVMAOyUt06VjYNYK8/A1KwkDVkb13oaM8h4fPcqXXQHzlWM17UQOQWvWNQpR82c9d4kpU2+LK6J7pV3i9LYdzptd5ix3j14x+RzcVK36y+L3ZqfwEJGMmaJ2)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728779)"
"(UID, b947ee763ba5a0b)","(AN, Google Play Services)","(PID, com.google.android.gms)","(DN, context_heisenbergcarro_gmail.com.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/context_heisenbergcarro_gmail.com.db)","(TN, context)","(RL, 10256)","(_id, 16696)","(context_id, 635aefe8-41c8-4ded-a4a1-e82b9b2c8133)","(context_name, 67)","(module_id, atxd)","(time_type, 1)","(start_time, 1626926727765)","(end_time, 1626926727765)","(context_family, 1)","(proto_blob, ieGr9MCALahZkzrbD2KbzSAa30gcw6WodXocOv7lsu3Y5IFHT8ZHGnDrP4CkI3taiUxrBQ0WxSjUndBH0tmbS/rGvGDdknNYVa8XNagEuylL4UDP1jxwx8r2Kat7AszvRTHCSTnS+U5VKAKChcSEo4Wbcz1sp7b21CbyRCWGl/KQCJlCWY1+LYFm7JIrhpPcj98XD/AfmFYhor4Km5MmEAjBEKxTQfLeEdNmJDBvq5tGDLWOh4F9r533nSfMy5S+Tg4t3nPQhhFyll/eCuhwYLt5Uk7P6lRUDK0K/2PpwLTY4bEXfU2cYIDzcXmxTM/OzZkVYubuyH7BvsBV2eM9BzU1Wh47Kebw9ZArme8NL9iZgAc35gyGzQnjo9HNzmL72wOP8fRX6+7wU6Q6A+0GGVyq7vLKQfZBSnH9TSXzx8Yh5UXIneuOOPGv1HdXoJCP)","(string_key1, None)","(string_key2, None)","(string_key3, None)","(version, 0)","(sync_state, 0)","(sync_state_mod_time_millis, 1626926728779)"
