UID,AN,PID,DN,DP,TN,RL,name,displayName,prevalence
"(UID, fb77d5786cd3136)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 408)","(name, Michael Browitt)","(displayName, Michael Browitt)","(prevalence, 0.0452)"
"(UID, 44394d8b413be25)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 409)","(name, Kantar Operations)","(displayName, Kantar Operations)","(prevalence, 0.523)"
"(UID, 7d2f7b4dce082a9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 410)","(name, Inspectlet)","(displayName, Inspectlet)","(prevalence, 0.156)"
"(UID, 66656365a0462a6)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 411)","(name, Instana, Inc.)","(displayName, Instana)","(prevalence, 0.11)"
"(UID, 4f5ccb5c158c8a9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 412)","(name, Vibrant Media Limited)","(displayName, Vibrant Media)","(prevalence, 0.0699)"
"(UID, 9b3b46f6b54d52e)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 413)","(name, Intent IQ, LLC)","(displayName, Intent IQ)","(prevalence, 2.14)"
"(UID, 074724761c1dcf2)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 414)","(name, Intergi Entertainment)","(displayName, Intergi Entertainment)","(prevalence, 0.112)"
"(UID, fa0589abd97ff7a)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 415)","(name, InvestingChannel, Inc.)","(displayName, InvestingChannel)","(prevalence, 0.0212)"
"(UID, df1c027f2718f8c)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 416)","(name, Invoca)","(displayName, Invoca)","(prevalence, 0.156)"
"(UID, fdba5bfdbfd7867)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 417)","(name, INFOnline GmbH)","(displayName, INFOnline)","(prevalence, 0.711)"
"(UID, 4466dca51f5eda9)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 418)","(name, ItaliaOnLine SpA)","(displayName, ItaliaOnLine)","(prevalence, 0.0178)"
"(UID, 1cbe5365a1e54a1)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 419)","(name, iPerceptions Inc.)","(displayName, iPerceptions)","(prevalence, 0.114)"
"(UID, 7ad116a45ab65a3)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 420)","(name, Grupa Interia.pl Sp. z o.o. sp. k.)","(displayName, Interia)","(prevalence, 0.0055)"
"(UID, 1b756d8ea638a07)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 421)","(name, Adelphic, Inc.)","(displayName, Adelphic)","(prevalence, 6.51)"
"(UID, 99cc42a1c258e33)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 422)","(name, iSpot.tv)","(displayName, iSpot.tv)","(prevalence, 0.481)"
"(UID, 74b76b807586198)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 423)","(name, Informationstechnikzentrum Bund (ITZBund))","(displayName, Informationstechnikzentrum Bund (ITZBund))","(prevalence, 0.0055)"
"(UID, 9f585a6e52e253f)","(AN, DuckDuckGo Browser)","(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 424)","(name, IVC - INSTITUTO VERIFICADOR DE COMUNICAÇÃO)","(displayName, IVC - INSTITUTO VERIFICADOR DE COMUNICAÇÃO)","(prevalence, 0.0219)"
