UID,AN,PID,DN,DP,TN,RL,cloud_id,type
"(UID, 643e707ac3f3964)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 385)","(cloud_id, 1y8HLkyeGffKNRJLZjjfA-pel-wga56xu)","(type, 1)"
"(UID, f28d3a9fe20ddac)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 386)","(cloud_id, 1IL8qkk1wgRxchBXFRWKqNKa0AEA8Huet)","(type, 1)"
"(UID, c3aa8af911f9497)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 387)","(cloud_id, 1pDYfPpuWFYGdiUnRtakwoWoVoNk31npV)","(type, 1)"
"(UID, 2de608b85b18caa)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 388)","(cloud_id, 1cgMud3R26o-HhoLWyENeGzVCUEQeWBwF)","(type, 1)"
"(UID, 6cb0761082f9cf4)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 389)","(cloud_id, 1Mtw9RxSyUg8GBVNeNWcoHCie6rlsQJyu)","(type, 1)"
"(UID, 16b9e64aa8e12bd)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 390)","(cloud_id, 1X0pa8uied8eKjwFB_rvv35X8e_yYFgzi)","(type, 1)"
"(UID, 1dbe8b95e4a8be5)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 391)","(cloud_id, 1JlI9xDuGYXGtNqssgJOhqAojYQu010Up)","(type, 1)"
"(UID, 26386317cce23bf)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 392)","(cloud_id, 1FxhfqF5tBQkEnCs7cxjA0UcghIaM8K95)","(type, 1)"
"(UID, 851f4342e770e0f)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 393)","(cloud_id, 1fYoOFmrecqxhIl7fNSJz05XIBqxUZnT6)","(type, 1)"
"(UID, 6459983fa4a5cf4)","(AN, Unknown App)","(PID, com.google.android.apps.docs)","(DN, cello.db_prefetched_ids)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.docs/app_cello/heisenbergcarro@gmail.com/cello.db_prefetched_ids)","(TN, cloud_ids)","(RL, 394)","(cloud_id, 1iOoDwMJA1XnRORxtH3bmk7sGSe8t_5zX)","(type, 1)"
